hanzi,pinyin,english,lists
有意思,yǒu yì si,interesting; meaningful; enjoyable,hsk2
有時,yǒu shí,sometimes; now and then,hsk2
有時候,yǒu shí hou,sometimes,hsk2;tocfl3
有用,yǒu yòng,useful,hsk3
有的,yǒu de,(there are) some (who are); some (exist),hsk1
有趣,yǒu qù,interesting; fascinating; amusing,tocfl2
有關,yǒu guān,to have sth to do with; to relate to; related to,hsk3
朋友,péng yǒu,friend; 位,hsk1;tocfl1
服務,fú wù,to serve; service,hsk3
本,běn,root; stem; origin,hsk1
本子,běn zi,book; notebook; edition,hsk2
杯,bēi,cup,tocfl2
杯子,bēi zi,cup; glass,hsk1;tocfl3
東,dōng,east,hsk3
東北,dōng běi,Northeast China; Manchuria,hsk3
東南,dōng nán,southeast,hsk3
東方,dōng fāng,the East; the Orient; two-character surname Dongfang,hsk3
東西,dōng xi,east and west,hsk1;tocfl1
果汁,guǒ zhī,fruit juice,tocfl3
查,chá,to research; to check; to investigate,hsk3
校園,xiào yuán,campus,hsk3
校長,xiào zhǎng,"(college, university) president; headmaster",hsk3
根據,gēn jù,according to; based on; basis,hsk3
桌,zhuō,table; desk; old variant of 桌,tocfl3
桌子,zhuō zi,table; desk,hsk1
條,tiáo,strip; item; article,hsk2
棒球,bàng qiú,baseball; 隻|只,tocfl3
椅子,yǐ zi,chair,hsk1;tocfl3
極,jí,"extremely; pole (geography, physics); utmost",hsk3
樓,lóu,house with more than 1 story; storied building; floor,hsk2;tocfl3
樓上,lóu shàng,upstairs,tocfl3
樓下,lóu xià,downstairs,tocfl3
樓梯,lóu tī,stair; staircase,hsk3
樹,shù,tree,hsk3;tocfl2
機場,jī chǎng,airport; airfield,hsk2
機會,jī huì,opportunity; chance; occasion,hsk3
機票,jī piào,plane ticket; airline ticket,hsk2
檢查,jiǎn chá,inspection; to examine; to inspect,hsk3
檢票,jiǎn piào,to inspect a ticket; to examine a ballot,hsk3
次,cì,"next in sequence; second; the second (day, time etc)",hsk2;tocfl2
歡迎,huān yíng,to welcome; welcome,hsk3;tocfl3
正,zhèng,straight; upright; proper,hsk2
正在,zhèng zài,to be in the process of (doing sth); to be currently -ing,hsk1
歲,suì,"variant of 歲|岁, year; years old; classifier for years (of age)",hsk1;tocfl1
歷史,lì shǐ,history,hsk3;tocfl2
段,duàn,paragraph; section; segment,hsk3
每,měi,each; every,hsk2;tocfl2
比,bǐ,to compare; more {adj.} than {noun}; ratio,hsk2;tocfl2
比如,bǐ rú,for example; for instance; such as,hsk3
比賽,bǐ sài,competition (sports etc); match; to compete,hsk3;tocfl3
比較,bǐ jiào,to compare; to contrast; comparatively,hsk3
毛,máo,hair; feather; down,hsk3
水,shuǐ,water,hsk1;tocfl1
水平,shuǐ píng,horizontal; level; a standard,hsk3
水果,shuǐ guǒ,fruit,hsk1;tocfl3
氷,bīng,ice; to chill sth; (of an object or substance) to feel cold,hsk3
決定,jué dìng,to decide (to do something); to resolve; decision,hsk3;tocfl3
汽車,qì chē,car; automobile; bus,hsk3
沒,méi,(negative prefix for verbs) have not; not,hsk1;tocfl1
沒事,méi shì,it's not important; it's nothing; never mind,hsk1
沒意思,méi yì si,boring; of no interest,hsk2
沒有,méi yǒu,haven't; hasn't; doesn't exist,hsk1
沒關係,méi guān xi,it doesn't matter,hsk1;tocfl2
沙發,shā fā,sofa (loanword),hsk3;tocfl3
河,hé,river; the Yellow River; the Milky Way,hsk3;tocfl2
注意,zhù yì,to take note of; to pay attention to,hsk3;tocfl3
洗,xǐ,to wash; to bathe; to develop (photographs),hsk2
洗手間,xǐ shǒu jiān,toilet; lavatory; washroom,hsk2;tocfl3
洗澡,xǐ zǎo,to bathe; to take a shower,hsk3;tocfl2
洗衣機,xǐ yī jī,washing machine; washer,hsk3
海,hǎi,ocean; sea; great number of people or things,hsk3;tocfl2
海邊,hǎi biān,coast; seaside; seashore,tocfl3
涼快,liáng kuai,pleasantly cool (weather etc); to cool oneself; to cool off,hsk3
清楚,qīng chu,clear; distinct; to understand thoroughly,hsk3
渴,kě,thirsty,hsk3;tocfl3
游泳,yóu yǒng,swimming; to swim,hsk2;tocfl3
湖,hú,lake; 片,tocfl3
湯,tāng,soup,tocfl3
準備,zhǔn bèi,preparation; to prepare; to intend,hsk2;tocfl2
滿意,mǎn yì,satisfied; pleased; to one's satisfaction,hsk3
漂亮,piào liàng,pretty; beautiful,hsk1;tocfl1
漢字,hàn zì,Chinese character(s),hsk1
漢語,hàn yǔ,Chinese language,hsk1
火車,huǒ chē,train,hsk1;tocfl3
為了,wèi le,for; for the purpose of; in order to,hsk3
為什麼,wèi shén me,why?; for what reason?,hsk2;tocfl2
然後,rán hòu,then; after that; afterwards,hsk3
照,zhào,variant of 照; to shine; to illuminate,hsk3
照片,zhào piàn,photograph; picture,hsk3;tocfl2
照相,zhào xiàng,to take a photograph,hsk3;tocfl3
照相機,zhào xiàng jī,camera; 架; 部,tocfl3
照顧,zhào gù,to take care of; to show consideration; to attend to,hsk3
熱,rè,hot,hsk1;tocfl2
熱情,rè qíng,cordial; enthusiastic; passion,hsk3
燈,dēng,lamp; light; lantern,hsk3
爬,pá,to crawl; to climb; to get up or sit up,hsk3
爲,wèi,because of; for; to,hsk3
爸爸,bà ba,father; dad,hsk1;tocfl1
爺爺,yé ye,paternal grandfather; grandpa,hsk2
牀,chuáng,bed; couch; bed,hsk2
牙,yá,tooth; ivory,hsk3
牙刷,yá shuā,toothbrush,hsk3
牛,niú,cow,hsk3
牛奶,niú nǎi,cow's milk,hsk1;tocfl3
牠,tā,it; it (pronoun for an animal),hsk1
特別,tè bié,unusual; special; very,hsk3
狗,gǒu,dog,hsk1;tocfl2
玩,wán,to play,tocfl2
班,bān,team; class; grade,hsk2
班級,bān jí,class (group of students); grade (in school),hsk3
現在,xiàn zài,now; at present; currently,hsk1;tocfl1
球,qiú,ball,hsk2
球場,qiú chǎng,stadium; sports ground; court,hsk3
環境,huán jìng,environment; circumstances; surroundings,hsk3
瓶,píng,bottle; vase; pitcher,tocfl2
瓶子,píng zi,bottle,hsk3
甜,tián,sweet,hsk3;tocfl3
甞,cháng,to taste; to try (food); to experience,hsk3
生日,shēng rì,birthday,hsk2;tocfl2
生氣,shēng qì,to get angry; to be furious; vitality,hsk3
生活,shēng huó,to live; life; livelihood,hsk3;tocfl2
生病,shēng bìng,to fall ill,hsk1;tocfl3
用,yòng,to use; to make use of; to employ,hsk3;tocfl2
男,nán,male,hsk1;tocfl2
男人,nán rén,a man; a male; men,hsk3
男朋友,nán péng you,boyfriend,hsk1
男生,nán shēng,schoolboy; male student; boy,hsk3;tocfl3
留學,liú xué,to study abroad,hsk3
留學生,liú xué shēng,student studying abroad; returned student; foreign student,hsk3
畫,huà,to draw; to paint; picture,hsk2;tocfl2
畫家,huà jiā,painter,hsk3
當然,dāng rán,only natural; as it should be; certainly,hsk3
疼,téng,(it) hurts; sore; to love dearly,hsk2
病,bìng,illness; disease; to fall ill,hsk1
病人,bìng rén,sick person; patient; invalid,hsk3
痛,tòng,ache; pain; sorrow,tocfl3
瘦,shòu,thin; to lose weight; (of clothing) tight,hsk3;tocfl3
發展,fā zhǎn,development; growth; to develop,hsk3
發燒,fā shāo,to have a high temperature (from illness); to have a fever; (fig.) to be fascinated with,hsk3
發現,fā xiàn,to notice; to become aware of; to discover,hsk3
發生,fā shēng,to happen; to occur; to take place,hsk3
白天,bái tiān,daytime; during the day; day,hsk1
白色,bái sè,white; fig. reactionary; anti-communist,hsk2;tocfl3
百,bǎi,hundred; numerous; all kinds of,hsk1;tocfl1
的,de,of; ~'s (possessive particle); also pr. or in poetry and songs,hsk1;tocfl1
的話,de huà,if,hsk3
盤子,pán zi,tray; plate; dish,hsk3;tocfl3
直到,zhí dào,until,hsk3
相信,xiāng xìn,to believe; to be convinced; to accept as true,hsk3
相機,xiàng jī,camera; at the opportune moment; as the circumstances allow,hsk3
看,kàn,to look,hsk1;tocfl1
看來,kàn lái,apparently; it seems that,hsk3
看病,kàn bìng,to visit a doctor; to see a patient,hsk1
看見,kàn jiàn,to see; to catch sight of,hsk1
真,zhēn,really; truly; indeed,hsk1;tocfl1
眼睛,yǎn jīng,eye; 雙|双,hsk2;tocfl2
眼鏡,yǎn jìng,spectacles; eyeglasses,tocfl3
睡,shuì,to sleep; to lie down,hsk1
睡覺,shuì jiào,to go to bed; to sleep,hsk1;tocfl2
瞭,le,(completed action marker),hsk1
瞭解,liǎo jiě,to understand; to realize; to find out,hsk3
知道,zhī dào,to know; to become aware of; also pr,hsk1;tocfl1
短,duǎn,short,hsk3;tocfl3
短褲,duǎn kù,short pants; shorts,hsk3
矮,ǎi,(of a person) short; (of a wall etc) low; (of rank) inferior (to),hsk3;tocfl3
碗,wǎn,variant of 碗; variant of 碗; variant of 碗,hsk3;tocfl3
礦泉水,kuàng quán shuǐ,mineral water,hsk3
票,piào,ticket; ballot; banknote,hsk2;tocfl2
禮物,lǐ wù,gift; present,hsk3;tocfl3
秊,nián,year; grain; harvest (old),hsk1
秋天,qiū tiān,autumn,hsk3;tocfl3
科學,kē xué,science; scientific knowledge; scientific,tocfl3
種,zhǒng,seed; species; kind,hsk3
空調,kōng tiáo,air conditioning; air conditioner,hsk3
穿,chuān,to wear; to put on; to dress,hsk1;tocfl2
突然,tū rán,sudden; abrupt; unexpected,hsk3
站,zhàn,station; to stand; to halt,hsk2;hsk3;tocfl2
笑,xiào,old variant of 笑; to laugh; to smile,hsk2;tocfl2
第,dì,(old) residence of a high official; but; however,hsk1;tocfl1
筆,bǐ,"writing brush; writing implement (pen, pencil etc); brushstroke",hsk2;tocfl1
筆記,bǐ jì,to take down (in writing); notes,hsk3
筆記本,bǐ jì běn,notebook (stationery); (computing) laptop; notebook,hsk3
等,děng,to wait for; to await; by the time,hsk2;tocfl1
筷子,kuài zi,chopsticks,hsk3
箇,gè,individual; variant of 個|个,hsk1
箱子,xiāng zi,suitcase; chest; box,hsk3
節,jié,joint; node; section,hsk3
節日,jié rì,holiday; festival,hsk3
節目,jié mù,(TV or radio) program; show; item,hsk3
簡單,jiǎn dān,simple; not complicated,hsk3
籃球,lán qiú,basketball,hsk2;tocfl3
米,mǐ,rice,hsk3
米飯,mǐ fàn,(cooked) rice,hsk1
紅綠燈,hóng lǜ dēng,traffic light; traffic signal,hsk3
紅色,hóng sè,red (color); revolutionary,hsk2
紅茶,hóng chá,black tea,hsk2
紙,zhǐ,paper,hsk3;tocfl2
累,lèi,to accumulate; to involve or implicate ); continuous,tocfl2
終於,zhōng yú,at last; in the end; finally,hsk3
結婚,jié hūn,to marry; to get married,hsk3;tocfl3
結束,jié shù,termination; to finish; to end,hsk3
給,gěi,to; for; for the benefit of,hsk1;hsk2;tocfl1
經常,jīng cháng,frequently; constantly; regularly,hsk2
經理,jīng lǐ,manager; director,hsk3
經過,jīng guò,to pass; to go through; process,hsk3
綠色,lǜ sè,green,hsk2
綠茶,lǜ chá,green tea; a girl who has these qualities,hsk2
網上,wǎng shang,online,hsk2
網球,wǎng qiú,tennis; tennis ball,hsk3;tocfl3
網站,wǎng zhàn,website,hsk3
緊張,jǐn zhāng,nervous; keyed up; intense,tocfl3
練,liàn,to practice; to train; to drill,hsk3
練習,liàn xí,to practice; exercise; drill,hsk3;tocfl1
總,zǒng,general; overall; to sum up,hsk3
總是,zǒng shì,always,hsk3
繖,sǎn,umbrella; parasol; damask silk,hsk3
纍,lèi,tired; weary; to strain,hsk2
纔,cái,ability; talent; sb of a certain type,hsk3
羊,yáng,sheep,hsk3
美國,měi guó,America,tocfl1
羽毛球,yǔ máo qiú,badminton; shuttlecock,hsk3
習慣,xí guàn,habit; custom; usual practice,hsk3
翫,wán,to play; to have fun; to trifle with,hsk1
老,lǎo,old,hsk3
老人,lǎo rén,old man or woman; the elderly; one's aged parents or grandparents,hsk3
老師,lǎo shī,teacher,hsk1;tocfl1
老闆,lǎo bǎn,Robam (brand); boss; business proprietor,tocfl3
考,kǎo,to beat; to hit; variant of 考,hsk2
考試,kǎo shì,to take an exam; exam,hsk2;tocfl2
而且,ér qiě,(not only ) but also; moreover; in addition,hsk3
耳朵,ěr duo,ear; handle (on a cup),hsk3;tocfl3
耳機,ěr jī,headphones; earphones; telephone receiver,hsk3
聊,liáo,to chat; temporarily; for a while,hsk3
聰明,cōng míng,intelligent; clever; bright,hsk3
聲,shēng,sound; voice; tone,hsk3
聲音,shēng yīn,voice; sound,hsk3
聽,tīng,to listen,hsk1;tocfl1
聽見,tīng jiàn,to hear,hsk1
聽說,tīng shuō,to hear (sth said); one hears (that); hearsay,hsk3
肉,ròu,meat,hsk2;tocfl2
肚子,dù zi,belly; abdomen; stomach,tocfl3
胖,pàng,fat; plump,hsk3;tocfl3
能,néng,can; to be able to; might possibly,hsk1;tocfl1
腳,jiǎo,foot; leg (of an animal or an object); base (of an object),hsk3
腳踏車,jiǎo tà chē,bicycle; bike (Tw),tocfl3
臉,liǎn,face,hsk3
自己,zì jǐ,oneself; one's own,hsk2
自行車,zì xíng chē,bicycle; bike,hsk3
興趣,xìng qù,interest (desire to know about sth); interest; hobby,hsk3
舊,jiù,old; opposite: new 新; former,hsk3
舒服,shū fu,comfortable; feeling well,hsk2;tocfl3
船,chuán,variant of 船; boat; vessel,hsk3
花,huā,flower,tocfl2
花園,huā yuán,garden; (landscaped) park; yard with decorative plants,hsk3
英文,yīng wén,English (language),tocfl2
茶,chá,tea,hsk1;tocfl2
草,cǎo,variant of 草; grass; straw,hsk3
草地,cǎo dì,lawn; meadow; sod,hsk3
菜,cài,vegetable,hsk1;tocfl2
菜單,cài dān,menu,hsk3;tocfl3
華語,huá yǔ,Chinese language,tocfl3
萬,wàn,ten thousand; a great number,hsk2;tocfl3
著,zhe,aspect particle indicating action in progress or ongoing state,hsk2;tocfl2
著急,zháo jí,to worry; to feel anxious; to feel a sense of urgency,hsk3
藉,jiè,to borrow; to lend; to make use of,hsk3
藍,lán,blue,hsk3
藥,yào,leaf of the iris; variant of 藥|药; medicine,hsk2;tocfl2
藥店,yào diàn,pharmacy; drugstore,hsk2
蘋果,píng guǒ,Apple (American tech company),hsk1;tocfl2
蘤,huā,flower; blossom; fancy pattern,hsk2
號,hào,ordinal number; day of a month; mark,hsk1
號碼,hào mǎ,number,hsk3;tocfl2
蛋,dàn,egg; oval-shaped thing; variant of 蜑,tocfl3
蛋糕,dàn gāo,cake,hsk3;tocfl3
行,xíng,to walk; to go; to travel,hsk3
行李,xíng li,luggage,hsk3
街,jiē,street,hsk3;tocfl3
衛生間,wèi shēng jiān,bathroom; toilet; WC,hsk3
衣服,yī fu,clothes,hsk1;tocfl2
表演,biǎo yǎn,play; show; performance,hsk3;tocfl3
被,bèi,quilt; to cover (with); to suffer (a misfortune),hsk3
裙子,qún zi,skirt,hsk3;tocfl3
裡面,lǐ miàn,variant of 裡面|里面[li3 mian4]; inside; interior,hsk2;tocfl3
複習,fù xí,to review; revision; variant of 復習|复习[fu4 xi2],hsk3
褲子,kù zi,"variant of 褲子|裤子, trousers; pants; trousers",hsk2;tocfl2
襪子,wà zi,socks; stockings; 對|对,tocfl3
襯衫,chèn shān,shirt; blouse,hsk3
西,xī,west,hsk3
西北,xī běi,Northwest China,hsk3
西南,xī nán,southwest,hsk3
西方,xī fāng,the West; the Occident; Western countries,hsk3
西瓜,xī guā,watermelon,hsk3
要,yào,to want,hsk1;tocfl2
要求,yāo qiú,to request; to require; requirement,hsk3
見,jiàn,to see; to meet; to appear (to be sth),hsk1
見面,jiàn miàn,to meet; to see each other,hsk3
覺得,jué de,to think that; to feel that; to feel (uncomfortable etc),hsk1;tocfl1
角,jiǎo,angle; corner; horn,hsk3
解決,jiě jué,to solve; to resolve; to settle (a problem),hsk3
計程車,jì chéng chē,taxi; cab (Tw),tocfl3
記,jì,to record; to note; to memorize,hsk3
記得,jì de,to remember,hsk2;tocfl3
詞,cí,old variant of 詞|词; word; statement,hsk2
詞典,cí diǎn,dictionary; also written 辭典|辞典[ci2 dian3],hsk3
試,shì,to test; to try; experiment,hsk3
該,gāi,should; ought to; probably,hsk3
認得,rèn de,to recognize; to remember sth (or sb) on seeing it; to know,hsk3
認為,rèn wéi,to believe; to think; to consider,hsk3
認真,rèn zhēn,conscientious; earnest; serious,hsk3
認識,rèn shi,to know; to recognize; to be familiar with,hsk1;tocfl2
語言,yǔ yán,language,hsk3;tocfl3
說,shuō,to speak,tocfl1
說話,shuō huà,to speak; to say; to talk,hsk1;tocfl2
説,shuō,to speak; to talk; to say,hsk1
誰,shéi,who; also pr,hsk1;tocfl1
課,kè,lesson,hsk1
課文,kè wén,text,hsk3
課本,kè běn,textbook,hsk3;tocfl3
請,qǐng,please,hsk1
請假,qǐng jià,to request leave of absence,hsk3;tocfl3
請問,qǐng wèn,"Excuse me, may I ask?",hsk1;tocfl1
請客,qǐng kè,to give a dinner party; to entertain guests; to invite to dinner,hsk3
謌,gē,song; to sing; variant of 歌,hsk1
講,jiǎng,to speak; to explain; to negotiate,hsk3
謝謝,xiè xie,to thank; thanks; thank you,hsk1;tocfl1
警察,jǐng chá,police; police officer,tocfl3
護士,hù shì,nurse,tocfl3
護照,hù zhào,passport,hsk3
讀,dú,to read out; to read aloud; to read,hsk1;tocfl2
讀書,dú shū,to read a book; to study; to attend school,hsk1;tocfl3
變,biàn,to change; to become different; to transform,hsk3
變化,biàn huà,(intransitive) to change; to vary; change,hsk3
變成,biàn chéng,to change into; to turn into; to become,hsk3
讓,ràng,to yield; to permit; to let sb do sth,hsk2
貓,māo,cat,hsk1;tocfl3
貴,guì,expensive; highly valued; precious,hsk1;tocfl1
買,mǎi,to buy,hsk1;tocfl1
賓館,bīn guǎn,guesthouse; lodge; hotel,hsk3
賣,mài,to sell,hsk1;tocfl2
贏,yíng,to beat; to win; to profit,tocfl3
走,zǒu,to walk,hsk2;tocfl1
走路,zǒu lù,to walk; to go on foot; to leave,hsk2;tocfl2
起,qǐ,to rise; to raise; to get up,hsk3
起來,qǐ lái,to stand up; to get up; also pr,hsk2
起床,qǐ chuáng,to get out of bed; to get up,hsk1;tocfl2
起飛,qǐ fēi,(of an aircraft or rocket) to take off; to lift off,hsk3
超市,chāo shì,supermarket,hsk1
越,yuè,to exceed; to climb over; to surpass,hsk3
足球,zú qiú,soccer; football; a soccer ball,hsk2;tocfl3
跑,pǎo,to run,hsk2;tocfl2
跑步,pǎo bù,to run; to jog; (military) to march at the double,hsk2;tocfl3
跟,gēn,heel; to follow closely; to go with,hsk2;tocfl2
路,lù,road,hsk2;tocfl2
路上,lù shang,on the road; on the way; en route,hsk2
路口,lù kǒu,crossing; intersection (of roads),hsk3
路邊,lù biān,curb; roadside; wayside,hsk3
跳,tiào,to jump; to hop; to skip over,hsk3
跳舞,tiào wǔ,to dance,hsk2
踢,tī,to kick; to play (e.g. soccer); (slang) butch (in a lesbian relationship),hsk2;tocfl3
身邊,shēn biān,at one's side; on hand,hsk3
身體,shēn tǐ,the body; one's health,hsk2;tocfl2
身高,shēn gāo,(a person's) height,hsk3
車,chē,car,hsk1
車站,chē zhàn,rail station; bus stop,hsk2;tocfl3
輛,liàng,classifier for vehicles,hsk3
輸,shū,to lose; to transport; to donate,tocfl3
辦,bàn,"to take care of (a matter); to deal with (a task, procedure etc); to organize (an event)",hsk3
辦公室,bàn gōng shì,office; business premises,hsk3;tocfl3
辦法,bàn fǎ,way of handling sth; means; measure,hsk3
近,jìn,near; close to; approximately,hsk2
送,sòng,to send; to deliver; to transmit,hsk2;tocfl2
這,zhè,(pronoun) this; these; this,hsk1;tocfl1
這些,zhè xiē,these,hsk1
這個,zhè ge,(pronoun) this; (adjective) this,hsk1
這樣,zhè yàng,this kind of; so; this way,hsk2
這裡,zhè lǐ,variant of 這裡|这里[zhe4 li3]; here,hsk1;tocfl2
這邊,zhè biān,this side; here,hsk1
這麽,zhè me,so much; this much; how much?,hsk2
逥,huí,to circle; to go back; to turn around,hsk1;hsk3
週,zhōu,to make a circuit; to circle; circle,hsk2
週末,zhōu mò,weekend,hsk3;tocfl2
進,jìn,to go forward; to advance; to go in,hsk2
進來,jìn lái,to come in,hsk2;tocfl2
進去,jìn qù,to go in,hsk2
遇到,yù dào,to meet; to run into; to come across,hsk3
遇見,yù jiàn,to meet,hsk3
遊,yóu,to swim; variant of 遊|游; to walk,hsk2
遊客,yóu kè,traveler; tourist; (online gaming) guest player,hsk3
遊戲,yóu xì,game; to play,hsk3
運動,yùn dòng,to move; to exercise; sports,hsk2;tocfl2
運動員,yùn dòng yuán,athlete,hsk3
運動會,yùn dòng huì,sports competition,hsk3
遍,biàn,variant of 遍; everywhere; all over,hsk3
過,guò,to cross; to go over; to pass (time),hsk2;tocfl1
過來,guò lái,to come over; to manage; to handle,hsk2
過去,guò qù,(in the) past; former; previous,hsk2;hsk3
過年,guò nián,to celebrate the Chinese New Year,hsk2
過節,guò jié,to celebrate a festival; after the celebrations,hsk3
遠,yuǎn,far,hsk2;tocfl2
遲到,chí dào,to arrive late,hsk3
選,xuǎn,to choose; to pick; to select,hsk3
選擇,xuǎn zé,to select; to pick; choice,hsk3
還,huán,to pay back; to return,hsk3
還,hái,still; still in progress; still more,hsk1
還是,hái shì,or; still; nevertheless,hsk2;tocfl1
邊,biān,side; edge; margin,hsk1
那,nà,(specifier) that; the; those (colloquial pr. ),hsk1;hsk2;tocfl1
那些,nà xiē,those,hsk1
那個,nà ge,that one; that thing; that (as opposed to this),hsk1
那樣,nà yàng,that kind; that sort,hsk2
那裡,nà lǐ,there; that place; there,hsk1;tocfl2
那邊,nà biān,over there; yonder,hsk1
那麽,nà me,like that; in that way; to that extent,hsk2
郵件,yóu jiàn,mail; post; email,hsk3
郵局,yóu jú,post office; 個|个,tocfl3
郵箱,yóu xiāng,mailbox; post office box; email,hsk3
都,dōu,all; both; entirely,hsk1;tocfl1
鄰居,lín jū,neighbor,hsk3
酒,jiǔ,wine (esp. rice wine); liquor; spirits,hsk3;tocfl2
酒店,jiǔ diàn,wine shop; pub (public house); hotel,hsk2
醫生,yī shēng,doctor,hsk1;tocfl2
醫院,yī yuàn,hospital,hsk1;tocfl2
里,lǐ,variant of 裡|里; lining; interior,hsk1
重要,zhòng yào,important; significant; major,hsk3;tocfl3
鉛筆,qiān bǐ,(lead) pencil,hsk3
銀行,yín háng,bank,hsk3;tocfl3
銀行卡,yín háng kǎ,bank card,hsk3
錢,qián,money,hsk1;tocfl1
錯,cuò,mistake; wrong; bad,hsk2
鍛鍊,duàn liàn,to toughen; to temper; to engage in physical exercise,hsk3
長,cháng,long,hsk2;hsk3;tocfl2
門,mén,door,hsk2;tocfl2
門口,mén kǒu,doorway; gate,hsk2
門票,mén piào,"ticket (for theater, cinema etc)",hsk2
開,kāi,to open,hsk1
開始,kāi shǐ,to begin; beginning; to start,hsk2;tocfl2
開學,kāi xué,(of a student) to start school; (of a semester) to begin; (old) to found a school,hsk2
開心,kāi xīn,to feel happy; to rejoice; to have a great time,hsk3
開會,kāi huì,to hold a meeting; to attend a meeting,hsk3
開機,kāi jī,to start an engine; to boot up (a computer); to press Ctrl-Alt-Delete,hsk3
開花,kāi huā,to bloom; to blossom; to flower,hsk3
開車,kāi chē,to drive a car (or train etc); (slang) to post sexual content online; to make a sexual joke,hsk1;tocfl1
間,jiān,between; among; within a definite time or space,hsk2
關,guān,mountain pass; to close; to shut,hsk3
關心,guān xīn,to be concerned about; to care about,hsk3
關於,guān yú,pertaining to; concerning; with regard to,hsk3
關機,guān jī,to turn off (a machine or device); to finish shooting a film,hsk3
關注,guān zhù,to pay attention to; to follow sth closely; to follow (on social media),hsk3
關系,guān xì,relation; relationship; to concern,hsk3
阿姨,ā yí,maternal aunt; step-mother; childcare worker,hsk3
附近,fù jìn,nearby; neighboring; (in the) vicinity (of),hsk3;tocfl2
除了,chú le,apart from; besides; in addition to,hsk3
隂,yīn,overcast (weather); cloudy; shady,hsk2
隻,zhī,variant of 隻|只; grain that has begun to ripen,hsk1
隻,zhǐ,only; merely; just,hsk3
雖然,suī rán,although; even though,hsk2
雙,shuāng,variant of 雙|双; two; double,hsk3;tocfl2
雞,jī,fowl; chicken; (slang) prostitute,tocfl3
雞蛋,jī dàn,(chicken) egg; hen's egg,hsk1
離,lí,to leave; to part from; to be away from,hsk2;tocfl2
離開,lí kāi,to depart; to leave,hsk3
難,nán,difficult,hsk3;tocfl1
難看,nán kàn,ugly; unsightly,hsk3
難聽,nán tīng,unpleasant to hear; coarse; vulgar,hsk3
難過,nán guò,to feel sad; to feel unwell; (of life) to be difficult,hsk3
難題,nán tí,difficult problem,hsk3
雨,yǔ,rain,hsk1
雨衣,yǔ yī,raincoat,hsk3
雪,xuě,snow; to wipe away (a humiliation etc),hsk1
零,líng,zero; nought; zero sign,hsk1;tocfl1
電,diàn,electricity,hsk3
電子書,diàn zǐ shū,electronic book; e-book; e-book reader,hsk3
電子郵件,diàn zǐ yóu jiàn,email; 份,tocfl3
電影,diàn yǐng,movie; film,hsk1;tocfl1
電影院,diàn yǐng yuàn,cinema; movie theater,hsk1;tocfl3
電梯,diàn tī,elevator; escalator,hsk3;tocfl3
電腦,diàn nǎo,computer,hsk1;tocfl1
電視,diàn shì,television; TV,hsk1;tocfl1
電話,diàn huà,telephone; phone call; phone number,hsk1;tocfl1
需要,xū yào,to need; to want; to demand,hsk3
非常,fēi cháng,very; really; unusual,hsk1;tocfl2
面前,miàn qián,in front of; facing; (in the) presence (of),hsk3
鞋子,xié zi,shoe,tocfl2
鞵,xié,shoe; variant of 鞋,hsk3
韆,qiān,thousand; used in 鞦韆|秋千[qiu1 qian1],hsk1
音樂,yīn yuè,music,hsk3;tocfl2
頁,yè,page; leaf,hsk3
頭,tóu,head,hsk2;hsk3;tocfl3
頭髮,tóu fǎ,hair (on the head),hsk3;tocfl3
題,tí,topic; problem for discussion; exam question,hsk2
顏色,yán sè,color; countenance; appearance,hsk2;tocfl3
願意,yuàn yì,to wish; to want; ready,hsk3
風,fēng,wind; news; style,hsk3;tocfl2
風景,fēng jǐng,scenery; landscape,tocfl3
颳,guā,to scrape; to blow; to shave,hsk3
飛,fēi,to fly,hsk2
飛機,fēi jī,airplane,hsk1;tocfl3
飛機場,fēi jī chǎng,airport; (slang) flat chest,tocfl3
食物,shí wù,food,tocfl3
飯,fàn,"rice, meal",hsk1;tocfl1
飯店,fàn diàn,restaurant; hotel,hsk1;tocfl3
飯館,fàn guǎn,restaurant,hsk2
飲料,yǐn liào,drink; beverage,hsk3;tocfl3
飽,bǎo,to eat till full; satisfied,hsk3
餃子,jiǎo zi,dumpling; pot-sticker,hsk1;tocfl3
養,yǎng,to raise (animals); to bring up (children); to keep (pets),hsk3
餐廳,cān tīng,dining hall; dining room; restaurant,tocfl2
餓,è,hungry; to starve (sb),hsk3;tocfl3
餵,wèi,"hey; to feed (an animal, baby, invalid etc); variant of 餵|喂",hsk1
餹,táng,sugar; sweets; candy,hsk3
香蕉,xiāng jiāo,banana,hsk3;tocfl3
馬,mǎ,horse,hsk3;tocfl3
馬上,mǎ shàng,at once; right away; immediately,hsk3
馬路,mǎ lù,street; road,hsk3;tocfl3
騎,qí,"to sit astride; to ride (a horse, bike etc); classifier for saddle horses",hsk3;tocfl3
骽,tuǐ,leg; hip bone; old variant of 腿,hsk3
髒,zāng,dirty; filthy; to get (sth) dirty,hsk3
體育,tǐ yù,sports; physical education,hsk3
體育館,tǐ yù guǎn,gym; gymnasium; stadium,hsk3
高,gāo,tall,hsk2
高中,gāo zhōng,senior high school; abbr. for 高級中學|高级中学[gao1 ji2 zhong1 xue2],hsk2
高興,gāo xìng,happy; glad; willing (to do sth),hsk1;tocfl1
高鐵,gāo tiě,high speed rail,hsk3
髮,fā,to send out; to show (one's feeling); to issue,hsk3
魚,yú,fish,hsk2;tocfl2
