hanzi,pinyin,english,lists
冬天,dōng tiān,winter,hsk3;tocfl3
冰激凌,bīng jī líng,ice cream,hsk3
冰箱,bīng xiāng,refrigerator; (old) icebox,hsk3
冷,lěng,cold,hsk1;tocfl2
冷氣,lěng qì,air conditioning (Tw),tocfl3
出來,chū lái,to come out; to appear; to arise,hsk2
出去,chū qù,to go out,hsk2;tocfl2
出國,chū guó,to go abroad; to leave the country,hsk2
出生,chū shēng,to be born,hsk3
出發,chū fā,to set off; to start (on a journey),hsk3
出租車,chū zū chē,taxi; (Tw) rental car,hsk1
出門,chū mén,to go out; to leave home; to go on a journey,hsk2
出院,chū yuàn,to leave hospital; to be discharged from hospital,hsk3
分,fēn,to divide; to separate; to distribute,hsk1;hsk3;tocfl1
分鐘,fēn zhōng,minute,hsk1;tocfl3
分開,fēn kāi,to separate; to part,hsk3
初中,chū zhōng,junior high school,hsk3
別人,bié rén,other people; others; other person,hsk3
別的,bié de,else; other,hsk3
到,dào,to reach; to arrive; to leave for,hsk1;tocfl1
到處,dào chù,everywhere,hsk3
刷,shuā,a brush; to paint; to daub,hsk3
刻,kè,quarter (hour); moment; to carve,hsk3
前,qián,front; forward; ahead,hsk1
前天,qián tiān,the day before yesterday,hsk3
前年,qián nián,the year before last,hsk3
前面,qián miàn,ahead; in front; preceding,hsk2
剛,gāng,hard; firm; strong,hsk3
剛剛,gāng gāng,just recently; just a moment ago,hsk3
剛纔,gāng cái,just now; a moment ago; just now,hsk3
功課,gōng kè,homework; assignment; task,tocfl3
加,jiā,to add; (math.) plus; to increase,hsk3
努力,nǔ lì,to make an effort; to try hard; to strive,hsk3
動,dòng,(of sth) to move; to set in movement; to displace,hsk2
動物,dòng wù,animal,hsk3
動物園,dòng wù yuán,zoo,hsk3
勺子,sháo zi,spoon; ladle,hsk3
包,bāo,bag,hsk2
包子,bāo zi,baozi; bao (steamed stuffed bun),hsk1;tocfl3
北,běi,north; (classical) to be defeated,hsk3
北方,běi fāng,north; the northern part a country; China north of the Yellow River,hsk3
十,shí,ten,hsk1;tocfl1
十字路口,shí zì lù kǒu,crossroads; intersection,tocfl3
千,qiān,thousand; see 鞦韆|秋千[qiu1 qian1],tocfl3
午飯,wǔ fàn,lunch,hsk1
半,bàn,half; semi-; incomplete,hsk1;tocfl1
半天,bàn tiān,half of the day; a long time; quite a while,hsk3
南,nán,south,hsk3
南方,nán fāng,south; southern direction,hsk3
卡,kǎ,to stop; to block; (computing) slow,hsk3
去,qù,to go,hsk1;tocfl1
去年,qù nián,last year,hsk1;tocfl2
參加,cān jiā,to participate; to take part; to join,hsk3;tocfl2
參觀,cān guān,to look around; to tour; to visit,tocfl3
又,yòu,(once) again; also; both and,hsk3
叔叔,shū shu,father's younger brother; paternal uncle,hsk3
受,shòu,to receive; to accept; to suffer,hsk3
受傷,shòu shāng,to sustain injuries; wounded (in an accident etc); harmed,tocfl3
受到,shòu dào,to receive; to be ed,hsk3
口,kǒu,mouth,hsk1
句,jù,sentence; clause; phrase,hsk3
句子,jù zi,sentence,hsk3;tocfl3
只,zhǐ,only; merely; just,tocfl1
只是,zhǐ shì,merely; only; just,hsk3
只有,zhǐ yǒu,only have; there is only; it is only if (that one can ),hsk3
只能,zhǐ néng,can only; obliged to do sth; to have no other choice,hsk3
只要,zhǐ yào,so long as; provided; if,hsk3
叫,jiào,to shout; to call; to order,tocfl1
可,kě,(prefix) can; may; able to,hsk3
可以,kě yǐ,can; may; possible,hsk1;tocfl1
可愛,kě ài,adorable; cute; lovely,hsk3;tocfl3
可是,kě shì,but; however; (used for emphasis) indeed,hsk3;tocfl1
可能,kě néng,might (happen); possible; probable,hsk2;tocfl2
台灣,tái wān,variant of 臺灣|台湾[Tai2 wan1],tocfl1
右,yòu,right; right-hand side; (politics) right of center,hsk2
右邊,yòu biān,right side; right; to the right,hsk2;tocfl2
司機,sī jī,chauffeur; driver,hsk3;tocfl3
吃,chī,to eat,tocfl1
合適,hé shì,suitable; fitting; appropriate,hsk3
同事,tóng shì,colleague; co-worker,hsk3;tocfl3
同學,tóng xué,to study at the same school; fellow student; classmate,hsk1
同意,tóng yì,to agree; to consent; to approve,hsk3
名,míng,name; noun (part of speech); place (e.g. among winners),hsk2
名人,míng rén,personage; celebrity,hsk3
名單,míng dān,list of names,hsk3
名字,míng zi,name (of a person or thing),hsk1;tocfl1
吧,ba,right?; OK?; I presume,hsk1;tocfl1
告訴,gào su,to press charges; to file a complaint,hsk2
呌,jiào,to shout; to call; to order,hsk1
呢,ne,particle indicating strong affirmation,hsk1;tocfl1
和,hé,"Japanese (food, clothes etc); and; together with",tocfl2
咖啡,kā fēi,(loanword) coffee,hsk2;tocfl2
咱們,zán men,I or me; (in a coaxing or familiar way) you; also pr. [za2 men5],hsk3
員,yuán,person engaged in a certain field of activity; member; classifier for military generals,hsk3
哥哥,gē ge,older brother,hsk1;tocfl1
哪,nǎ,how; which,hsk1;tocfl2
哪些,nǎ xiē,which ones?; who?; what?,hsk1
哪個,nǎ ge,which; who,hsk1
哪裡,nǎ lǐ,where?; somewhere; anywhere,hsk1;tocfl2
哭,kū,to cry; to weep,hsk3
唱,chàng,to sing,hsk1
唱歌,chàng gē,to sing a song,tocfl2
商場,shāng chǎng,shopping mall; shopping center; department store,hsk2
商店,shāng diàn,store; shop,hsk1;tocfl3
啊,a,"modal particle ending sentence, showing affirmation, approval, or consent",hsk2
問,wèn,to ask; to inquire,hsk1;tocfl1
問題,wèn tí,question; problem; issue,hsk1;tocfl2
啤酒,pí jiǔ,beer (loanword),hsk3
喂,wéi,hello (when answering the phone); hey; to feed (an animal,tocfl2
喜愛,xǐ ài,to like; to love; to be fond of,hsk3
喜歡,xǐ huān,to like; to be fond of,hsk1;tocfl1
喝,hē,to drink,hsk1;tocfl2
喫,chī,to eat; to consume; to eat at (a cafeteria etc),hsk1
嗎,ma,see 嗎啡|吗啡; morphine,hsk1;tocfl1
嘴,zuǐ,mouth; beak; nozzle,hsk3
四,sì,four,hsk1;tocfl1
四季,sì jì,"four seasons, namely: spring 春, summer 夏, autumn 秋 and winter 冬",hsk3
回,huí,to circle; to go back; to turn around,tocfl1
回來,huí lái,to return; to come back,hsk2
回去,huí qù,to return; to go back,hsk2
回答,huí dá,to reply; to answer; reply,hsk3;tocfl3
因為,yīn wèi,because; owing to; on account of,hsk2;tocfl2
國,guó,country; nation; state,hsk1
國家,guó jiā,country; nation; state,hsk3;tocfl3
園,yuán,land used for growing plants; site used for public recreation,hsk3
圖書館,tú shū guǎn,library,hsk3;tocfl2
圖片,tú piàn,image; picture; photograph,tocfl3
在,zài,to exist; to be alive; (of sb or sth) to be (located) at,hsk1
地,de,-ly,hsk2
地,dì,earth; ground; field,hsk3
地圖,dì tú,map,hsk3;tocfl3
地方,dì fāng,region; regional; local,hsk3;tocfl2
地鐵,dì tiě,underground railway; subway; subway train,hsk2;tocfl2
地點,dì diǎn,place; site; location,hsk3
坐,zuò,to sit,hsk1;tocfl1
城市,chéng shì,city; town,hsk3;tocfl3
堅持,jiān chí,to persevere with; to persist in; to insist on,hsk3
報紙,bào zhǐ,newspaper; newsprint,hsk3;tocfl3
塊,kuài,lump; chunk; piece,hsk1;tocfl1
壞,huài,bad; spoiled; broken,hsk2;tocfl3
夏天,xià tiān,summer,hsk3;tocfl3
外,wài,outside; in addition; foreign,hsk1;tocfl2
外國,wài guó,foreign country,hsk2
外地,wài dì,parts of the country other than where one is,hsk3
外語,wài yǔ,foreign language,hsk3
外賣,wài mài,takeout (business); takeout (meal),hsk3
外邊,wài bian,outside; outer surface; abroad,hsk1
外面,wài miàn,outside; surface; exterior,hsk2
多,duō,many,hsk1;hsk2
多少,duō shǎo,number; amount; somewhat,hsk1;tocfl1
大,dà,big,hsk1
大人,dà ren,adult; grownup; title of respect toward superiors,hsk3
大學,dà xué,"the Great Learning, one of the Four Books 四書|四书[Si4 shu1] in Confucianism",hsk1;tocfl1
大學生,dà xué shēng,university student; college student,hsk1
大家,dà jiā,everyone; influential family; great expert,hsk1;tocfl2
大小,dà xiǎo,large and small; size; adults and children,hsk3
大概,dà gài,roughly; probably; rough,hsk3
大熊貓,dà xióng māo,giant panda (Ailuropoda melanoleuca),hsk3
大衣,dà yī,overcoat; topcoat; cloak,hsk3
天,tiān,"sky, day",hsk1
天氣,tiān qì,weather,hsk1;tocfl2
太,tài,highest; greatest; too (much),hsk1
太太,tài tai,married woman; Mrs; Madam,tocfl2
太陽,tài yáng,sun; sunlight; sunshine,hsk3;tocfl3
夫妻,fū qī,husband and wife; married couple,hsk3
奇怪,qí guài,strange; odd; to marvel,hsk3
女,nǚ,female,hsk1;tocfl2
女人,nǚ rén,woman,hsk3
女兒,nǚ ér,daughter,hsk1;tocfl2
女士,nǚ shì,lady; madam; Miss,hsk1
女朋友,nǚ péng you,girlfriend,hsk1
女生,nǚ shēng,schoolgirl; female student; girl,hsk3;tocfl3
奶奶,nǎi nai,(informal) grandma (paternal grandmother); (respectful) mistress of the house; boobies,hsk2
奶茶,nǎi chá,milk tea,hsk2
她,tā,she,hsk1
她們,tā men,they; them (females),hsk1
好,hǎo,good,hsk1;hsk2;tocfl1
好久,hǎo jiǔ,quite a while,hsk3
好像,hǎo xiàng,as if; to seem like,hsk3
好吃,hǎo chī,tasty; delicious,hsk1;tocfl2
好多,hǎo duō,many; quite a lot; much better,hsk3
好看,hǎo kàn,"good-looking; nice-looking; (of a movie, book, TV show etc) good",hsk1;tocfl2
好聽,hǎo tīng,pleasant to hear,hsk1
如果,rú guǒ,if; in case; in the event that,hsk3
妳,nǐ,you; you,hsk1
妹妹,mèi mei,younger sister; young woman,hsk1;tocfl1
妻子,qī zi,wife and children,hsk2
姊姊,jiě jie,older sister; Taiwan pr. [jie3 jie5],tocfl1
姐妹,jiě mèi,"sisters; siblings; sister (school, city etc)",hsk3
姐姐,jiě jie,older sister,hsk1
姓,xìng,family name; to be surnamed; surname,hsk2;tocfl1
姓名,xìng míng,full name; surname and given name,hsk2;tocfl3
媽媽,mā ma,mama; mommy; mother,hsk1;tocfl1
子,zi,"noun suffix, as in 椅子[yi3 zi5] 'chair'",hsk3
字,zì,letter; symbol; character,hsk1
字典,zì diǎn,Chinese character dictionary; dictionary,hsk3
季,jì,season; the last month of a season; fourth or youngest amongst brothers,hsk3
季節,jì jié,time; season; period,hsk3
孩子,hái zi,child,hsk1;tocfl2
學,xué,to study,hsk1
學期,xué qī,term; semester,hsk3
學校,xué xiào,school,hsk1;tocfl1
學生,xué shēng,student; schoolchild,hsk1;tocfl1
學習,xué xí,to learn; to study,hsk1;tocfl2
它們,tā men,they; them,hsk1
安全,ān quán,safe; secure; safety,hsk3
安靜,ān jìng,quiet; peaceful; calm,hsk3;tocfl3
完,wán,to finish; to be over; whole,hsk2
完成,wán chéng,to complete; to accomplish,hsk3
客人,kè rén,visitor; guest; customer,hsk3
客廳,kè tīng,drawing room (room for arriving guests); living room,tocfl2
室,shì,room; work unit; grave,hsk3
害怕,hài pà,to be afraid; to be scared,hsk3
家,jiā,home,hsk1;hsk3;tocfl1
家人,jiā rén,family member; (old) servant,hsk1;tocfl3
家具,jiā jù,furniture; 套,tocfl3
容易,róng yì,easy; straightforward; likely,hsk3;tocfl1
寄,jì,to send; to mail; to entrust,tocfl3
寫,xiě,to write,hsk1;tocfl1
封,fēng,to confer; to grant; to bestow a title,hsk3
對,duì,correct,hsk1
對不起,duì bu qǐ,I'm sorry; excuse me; I beg your pardon,hsk1;tocfl1
對話,duì huà,to talk (with sb); dialogue; conversation,hsk3
對面,duì miàn,(sitting) opposite; across (the street); directly in front,tocfl3
小,xiǎo,small,hsk1;tocfl1
小區,xiǎo qū,housing estate; community; neighborhood,hsk3
小姐,xiǎo jiě,young lady; miss; (slang) prostitute,tocfl2
小孩,xiǎo hái,child,tocfl3
小學,xiǎo xué,elementary school; primary school,hsk1;tocfl3
小學生,xiǎo xué shēng,primary school student; schoolchild; (fig.) beginner,hsk1
小心,xiǎo xīn,to be careful; to take care,hsk3;tocfl3
小時,xiǎo shí,hour,hsk1;tocfl3
小時候,xiǎo shí hou,in one's childhood,hsk2
小朋友,xiǎo péng yǒu,child; kid,hsk1
少,shǎo,few; less; to lack,hsk1
就,jiù,(after a suppositional clause) in that case; then; (after a clause of action) as soon as,hsk2
屋子,wū zi,house; room,hsk3
層,céng,to pile on top of one another; layer; stratum,hsk3
山,shān,mountain,hsk3;tocfl2
工人,gōng rén,worker; 名,tocfl3
工作,gōng zuò,to work; (of a machine) to operate; job,hsk1;tocfl2
工作日,gōng zuò rì,workday; working day; weekday,hsk3
工廠,gōng chǎng,factory; 座,tocfl3
左,zuǒ,left; the Left (politics); east,hsk2
左邊,zuǒ biān,left; the left side; to the left of,hsk2;tocfl2
巧克力,qiǎo kè lì,chocolate (loanword),tocfl3
差,chà,different; wrong; mistaken,hsk3
差不多,chà bu duō,almost; nearly; more or less,hsk3
已經,yǐ jīng,already,hsk2
市,shì,market; city; municipality (administrative unit),hsk3
市場,shì chǎng,marketplace; market (also in abstract),tocfl2
希望,xī wàng,to hope; a hope; a wish,hsk2;tocfl3
帶,dài,band; belt; girdle,hsk3;tocfl2
常,cháng,always; ever; often,hsk3
常常,cháng cháng,frequently; often,hsk3;tocfl2
常用,cháng yòng,in common usage,hsk3
常見,cháng jiàn,commonly seen; common; to see sth frequently,hsk3
幫,bāng,old variant of 幫|帮; old variant of 幫|帮; to help,hsk2
幫助,bāng zhù,assistance; aid; to help,hsk3
幫忙,bāng máng,to help; to lend a hand; to do a favor,hsk2;tocfl3
平時,píng shí,ordinarily; in normal times; in peacetime,hsk3
年級,nián jí,"grade; year (in school, college etc)",hsk3;tocfl2
年輕,nián qīng,young,hsk3;tocfl3
幹,gàn,tree trunk; main part of sth; to manage,hsk3
幾,jǐ,how much; how many; several,hsk1;tocfl1
幾乎,jī hū,almost; nearly; practically,hsk3
店,diàn,inn; old-style hotel; shop,hsk1
廚房,chú fáng,kitchen,tocfl3
弟弟,dì di,younger brother,hsk1;tocfl1
張,zhāng,to open up; to spread; sheet of paper,hsk3;tocfl2
彆,bié,to leave; to part (from); to differentiate,hsk2
影響,yǐng xiǎng,influence; effect; to influence,hsk3
往,wǎng,to go (in a direction); to; towards,tocfl2
徃,wǎng,to go (in a direction); to; towards,hsk2
很,hěn,very; quite,hsk1;tocfl1
後,hòu,empress; queen; (archaic) monarch,hsk1
後來,hòu lái,afterwards; later; newly arrived,hsk3
後天,hòu tiān,the day after tomorrow; life after birth; acquired (not innate or congenital),hsk3
後年,hòu nián,the year after next,hsk3
後面,hòu miàn,the back; the rear; the last bit,hsk2
得,de,"structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc",hsk2
得,děi,to have to; must; ought to,hsk3
得分,dé fēn,"to score a point (in a competition, test etc); score; rating",hsk3
得到,dé dào,to get; to obtain; to receive,hsk3
從,cóng,variant of 從|从; from; through,hsk2;tocfl2
從小,cóng xiǎo,from childhood; from a young age,hsk2
心裡,xīn lǐ,chest; heart; mind,hsk3
必須,bì xū,to have to; must; compulsory,hsk3
忘,wàng,to forget; to overlook; to neglect,hsk2
忘記,wàng jì,to forget,hsk3
忙,máng,busy,hsk1;tocfl1
快,kuài,fast,hsk2
快樂,kuài lè,happy; joyful,hsk2;tocfl2
快要,kuài yào,nearly at the point of (doing sth); about to (do sth),hsk2
怎樣,zěn yàng,how; what kind,hsk3
怎麼,zěn me,how?; what?; why?,tocfl2
怎麼樣,zěn me yàng,how?; how about?; how was it?,hsk1;tocfl1
怎麼辦,zěn me bàn,what's to be done,hsk3
怎麽,zěn me,how?; what?; why?,hsk1
怕,pà,to be afraid; to fear; to dread,hsk3
急,jí,urgent; pressing; rapid,hsk3
您,nín,you,hsk1;tocfl1
想,xiǎng,to think,hsk1;tocfl1
意思,yì si,idea; opinion; meaning,hsk2;tocfl2
愛,ài,to love; to be fond of; to like,hsk1;tocfl2
愛人,ài ren,spouse (PRC); lover (non-PRC),hsk3
愛好,ài hào,to like; to be fond of; to take pleasure in,hsk2
感冒,gǎn mào,to catch cold; (common) cold; (Tw) to detest,hsk3;tocfl3
感到,gǎn dào,to feel; to sense; to perceive,hsk3
感興趣,gǎn xìng qù,to be interested,hsk3
慢,màn,slow,hsk2;tocfl2
懂,dǒng,to understand; to comprehend,hsk2;tocfl2
懂得,dǒng de,to understand; to know; to comprehend,hsk3
應該,yīng gāi,ought to; should; must,hsk3
成績,chéng jì,achievement; performance records; grades,hsk3
我,wǒ,"I, me",hsk1;tocfl1
我們,wǒ men,we; us; ourselves,hsk1;tocfl1
或,huò,maybe; perhaps; might,hsk3
或者,huò zhě,or; possibly; maybe,hsk3
房子,fáng zi,house; building (single- or two-story); apartment,hsk3;tocfl2
房間,fáng jiān,room,hsk1;tocfl3
所以,suǒ yǐ,therefore; as a result; so,hsk2;tocfl2
手,shǒu,hand,hsk2
手指,shǒu zhǐ,finger; 隻|只,tocfl3
手機,shǒu jī,cell phone; mobile phone,hsk1;tocfl2
